player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Jaxon Howard,172479,ED,MINNESOTA,13,34,0,225,0,,,8.4,,,0,0,,62.3,0,,,0,0,0.0,0,7,20.6,83,2,0,0,0,0,0,0.0,,0,0,2.5,100.0,16.1,9.5,9.5,0,0,0.0,50.3,0,14,20.0,1,0,108.3,2,19,55.9,118,3,4,2,0,20,15,1.1,10.0
Jeremiah Hughes,172480,CB,MICH STATE,3,21,0,223,0,8.0,100.0,100.0,2.0,2.0,0,0,0.0,46.2,0,26,,0,0,118.8,1,2,9.5,2,0,0,1,0,26,18,13.0,26.0,0,1,12.3,50.0,84.2,8.0,4.0,0,0,0.0,64.9,0,13,40.0,2,0,62.5,2,16,76.2,19,2,2,4,0,18,12,1.1,9.0
Jake Ibieta,172481,LB,LSU,1,2,0,211,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,50.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,50.0,2,0,0,0,0,0,0,0.0,
Kylin Jackson,172482,S,TCU,12,114,0,305,0,,,83.3,,,0,0,,65.8,0,,,0,0,0.0,0,15,13.2,18,1,0,0,0,0,0,0.0,,0,1,7.0,78.6,80.6,6.5,5.1,0,0,0.0,54.8,0,32,57.1,8,0,137.5,11,75,65.8,93,3,5,14,1,158,78,2.2,14.4
Ashton Stamps,172496,CB,LSU,1,9,0,211,1,,,100.0,,,0,0,,71.4,0,,0.0,0,0,0.0,0,2,22.2,2,0,0,0,0,0,0,0.0,,0,0,20.0,0.0,100.0,,6.0,1,1,100.0,70.8,0,,,0,1,39.6,0,7,77.8,7,0,0,1,0,0,0,0.0,
Javien Toviano,172497,S,LSU,8,37,0,211,0,,,100.0,,,0,0,,58.0,0,,33.3,1,0,0.0,0,8,21.6,8,0,2,0,0,0,0,0.0,,0,0,-5.0,0.0,100.0,,21.0,0,0,0.0,59.6,0,,0.0,0,0,39.6,0,22,59.5,22,0,2,1,0,0,0,0.0,
Whit Weeks,172498,LB,LSU,8,135,0,211,1,3.5,50.0,66.2,15.3,7.7,0,0,0.0,56.2,0,9,0.0,0,0,56.3,3,51,37.8,77,4,3,6,0,14,22,0.3,4.7,0,1,2.6,87.5,75.9,4.4,3.8,0,0,0.0,59.4,0,16,0.0,0,0,91.9,14,63,46.7,83,3,7,16,0,97,57,1.6,6.9
Da'Shawn Womack,172500,ED,OLE MISS,15,1,0,226,0,,,0.0,,,0,0,,,0,,100.0,1,0,0.0,0,0,0.0,35,1,0,0,0,0,0,,,0,1,,,0.8,,,0,0,,76.2,0,,20.0,1,0,0.0,0,1,100.0,118,4,3,0,0,0,0,0.0,
Ryan Yaites,172501,S,TCU,2,8,0,305,0,,,100.0,,,0,0,,62.0,0,,,0,0,0.0,0,3,37.5,3,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,62.8,0,,,0,0,0.0,0,4,50.0,4,0,0,0,0,0,0,0.0,
AJ Brown Sr.,172507,CB,GA SOUTHRN,6,40,0,174,0,,,100.0,,,0,0,,56.7,0,,0.0,0,0,0.0,0,7,17.5,7,0,1,0,0,0,0,0.0,,0,0,12.8,75.0,100.0,8.7,6.5,0,0,0.0,61.4,0,11,33.3,1,0,87.5,3,28,70.0,28,1,2,4,0,22,15,0.8,7.3
Jamarious Brown,172508,DI,OLE MISS,15,1,0,226,0,,,4.2,,,0,0,,59.4,0,,,0,0,0.0,0,1,100.0,24,0,0,0,0,0,0,0.0,,0,1,,,0.0,,,0,0,,60.9,0,,0.0,0,0,0.0,0,0,0.0,114,2,2,0,0,0,0,,
Chamberlain Campbell,172509,ED,TOLEDO,4,2,0,316,0,,,25.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,50.0,4,0,0,0,0,0,0,0.0,,0,0,,,5.3,,,0,0,,60.0,0,,,0,0,0.0,0,1,50.0,19,0,0,0,0,0,0,0.0,
DeeJay Holmes Jr.,172519,ED,OLE MISS,4,15,0,226,0,,,11.1,,,0,0,,60.0,0,,,0,0,0.0,0,1,6.7,9,0,0,0,0,0,0,0.0,,0,0,,,70.0,,,0,0,,65.9,0,,0.0,0,0,0.0,0,14,93.3,20,2,3,0,0,0,0,0.0,
Suntarine Perkins,172524,ED,OLE MISS,15,248,0,226,0,,,18.9,,,0,0,,75.0,0,,42.9,3,0,0.0,0,17,6.9,90,1,4,0,0,0,0,0.0,,0,3,5.5,59.1,61.6,13.3,7.9,0,4,18.2,79.2,1,9,21.7,5,4,46.0,13,189,76.2,307,12,15,22,0,72,61,0.4,5.5
Luke Evans,172542,CB,MIAMI OH,7,109,0,221,0,12.8,100.0,100.0,5.0,5.0,0,0,0.0,51.3,0,45,16.7,1,0,158.3,5,28,25.7,28,1,5,5,1,109,45,4.4,21.8,0,1,10.8,60.0,100.0,8.4,5.1,0,1,6.7,51.4,0,51,45.5,5,1,115.1,9,77,70.6,77,1,5,15,1,147,57,1.9,16.3
Will James,172547,CB,HOUSTON,13,303,0,182,0,15.5,50.0,98.3,13.3,6.6,0,1,12.5,46.1,0,36,33.3,1,1,123.4,4,58,19.1,59,1,2,8,3,77,11,1.5,19.3,0,0,14.2,51.7,99.0,12.5,6.4,1,5,17.2,84.6,3,46,11.1,3,5,50.4,15,197,65.0,199,5,24,29,1,232,50,1.2,15.5
Brice Pollock,172553,CB,TEXAS TECH,14,496,0,315,0,18.5,28.6,98.9,20.3,5.8,0,2,14.3,61.4,0,33,0.0,0,1,48.2,4,87,17.5,88,0,3,14,0,71,21,0.9,17.8,0,4,10.4,50.0,98.6,17.7,8.8,2,5,16.7,77.6,2,25,9.1,2,4,34.2,15,279,56.3,283,4,16,30,0,131,53,0.5,8.7
Isaac Smith,172557,S,MISS STATE,10,217,0,227,1,17.0,0.0,83.8,,18.3,0,2,66.7,86.3,1,,20.0,1,2,0.0,0,62,28.6,74,1,3,3,0,0,0,0.0,,0,1,11.5,54.5,95.0,21.2,11.5,2,2,18.2,58.4,0,27,12.5,1,2,73.7,6,134,61.8,141,1,6,11,0,69,56,0.5,11.5
Zakari Tillman,172559,LB,MISS STATE,12,182,0,227,0,0.0,100.0,65.5,33.0,33.0,0,0,0.0,73.7,1,2,0.0,0,0,39.6,1,36,19.8,55,1,1,1,0,2,2,0.1,2.0,0,0,5.5,78.9,89.6,7.9,6.2,0,0,0.0,41.3,0,34,27.3,3,0,101.3,15,120,65.9,134,4,8,19,0,158,75,1.3,10.5
Marvin Burks Jr.,172561,S,MISSOURI,13,346,0,229,1,4.0,71.4,100.0,15.2,10.9,0,1,14.3,62.7,0,87,0.0,0,1,153.3,5,84,24.3,84,1,2,7,1,107,89,1.4,21.4,0,2,4.6,100.0,99.1,44.0,44.0,0,0,0.0,72.1,0,16,26.7,4,0,143.8,5,231,66.8,233,3,9,5,1,45,26,0.2,9.0
Jahkai Lang,172565,ED,SMU,13,11,0,287,2,,,1.4,,,0,0,,68.0,0,,0.0,0,0,0.0,0,1,9.1,69,0,0,0,0,0,0,,,0,2,,,6.9,,,0,0,,76.3,0,,0.0,0,0,0.0,0,10,90.9,145,1,2,0,0,0,0,0.0,
Brayshawn Littlejohn,172567,LB,APP STATE,12,180,0,108,0,,,56.9,,,0,0,,58.0,0,,100.0,2,0,0.0,0,41,22.8,72,2,0,0,0,0,0,0.0,,0,0,5.8,84.6,90.2,8.9,7.5,0,1,7.7,29.8,0,70,20.0,1,0,144.4,11,101,56.1,112,2,4,13,1,195,152,2.0,17.7
Triston Newson,172569,LB,MISSOURI,13,113,0,229,0,,,94.7,,,0,0,,75.8,0,,0.0,0,0,0.0,0,18,15.9,19,2,2,0,0,0,0,0.0,,0,2,5.1,70.6,83.5,6.3,4.5,0,1,5.9,44.7,0,21,18.2,2,1,95.7,12,81,71.7,97,3,7,17,0,142,63,1.9,11.8
Aidan Herrera,172582,LB,TEXAS A&M,1,3,0,312,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,60.8,0,,,0,0,0.0,0,3,100.0,3,0,0,0,0,0,0,0.0,
Daymion Sanford,172595,LB,TEXAS A&M,13,249,0,312,0,4.4,40.0,64.5,23.0,9.2,0,0,0.0,52.2,0,24,100.0,3,0,95.8,2,49,19.7,76,2,0,5,1,25,23,0.5,12.5,0,0,5.0,85.7,87.3,8.1,6.9,1,1,4.8,57.1,1,25,21.4,3,1,78.6,18,158,63.5,181,8,11,21,0,160,85,1.1,8.9
Jayvon Thomas,172600,CB,TEXAS A&M,4,32,0,312,0,33.0,100.0,100.0,5.0,5.0,0,0,0.0,47.7,0,34,,0,0,158.3,1,5,15.6,5,0,0,1,1,34,1,6.8,34.0,0,1,14.3,66.7,100.0,5.5,3.7,0,0,0.0,56.5,0,36,0.0,0,0,93.1,4,23,71.9,23,1,2,6,0,51,1,2.3,12.8
Taurean York,172604,LB,TEXAS A&M,13,368,0,312,2,-2.0,80.0,78.6,19.0,15.2,0,0,0.0,71.5,0,9,0.0,0,0,79.2,4,81,22.0,103,3,4,5,0,7,16,0.1,1.8,0,4,1.2,76.2,89.6,11.9,9.0,1,2,9.5,83.9,0,80,14.3,3,1,112.6,16,206,56.0,230,9,14,21,1,157,154,0.8,9.8
Ethan Crisp,172608,ED,LIBERTY,10,30,0,206,0,,,40.0,,,0,0,,62.9,0,,,0,0,0.0,0,6,20.0,15,0,0,0,0,0,0,0.0,,0,0,4.5,75.0,71.4,6.7,5.0,0,1,25.0,66.1,0,8,0.0,0,1,77.1,3,20,66.7,28,1,1,4,0,12,16,0.6,4.0
Jalen Gilbert,172611,S,VANDERBILT,4,41,0,333,0,14.0,100.0,100.0,10.0,10.0,0,0,0.0,47.9,0,15,,0,0,118.8,1,12,29.3,12,0,0,1,0,15,1,1.5,15.0,0,0,3.5,50.0,100.0,22.0,11.0,0,1,50.0,81.6,0,5,0.0,0,1,56.3,1,22,53.7,22,1,3,2,0,5,7,0.2,5.0
Evan Herrmann,172614,ED,OHIO,13,3,0,259,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,7,0,0,0,0,0,0,,,0,0,,,3.0,,,0,0,,63.4,0,,33.3,1,0,0.0,0,2,66.7,66,2,2,0,0,0,0,0.0,
Martel Hight,172615,CB,VANDERBILT,13,232,0,333,0,9.6,57.1,98.2,6.4,3.6,0,1,7.1,62.9,2,22,0.0,0,0,78.0,8,55,23.7,56,1,7,14,2,95,23,1.9,11.9,0,2,14.6,68.4,100.0,10.7,7.3,0,1,5.3,65.0,1,54,18.8,3,1,99.5,13,149,64.2,149,4,11,19,1,204,43,1.5,15.7
Bryan Longwell,172620,LB,VANDERBILT,13,240,0,333,1,3.0,0.0,60.3,,41.0,0,0,0.0,67.2,1,,0.0,0,0,0.0,0,44,18.3,73,0,1,1,0,0,0,0.0,,0,6,4.4,70.6,88.5,13.4,9.5,0,1,5.9,66.6,0,19,18.5,5,0,86.4,12,170,70.8,192,11,16,17,0,104,46,0.6,8.7
Jailen Ruth,172625,S,VANDERBILT,6,26,0,333,1,,,60.0,,,0,0,,47.9,0,,0.0,0,0,0.0,0,6,23.1,10,0,0,0,0,0,0,0.0,,0,1,8.7,100.0,75.0,5.0,5.0,0,0,0.0,48.5,0,19,0.0,0,0,109.7,3,15,57.7,20,0,0,3,0,31,5,2.1,10.3
Brayden Manley,172683,ED,GA TECH,12,22,0,176,0,,,2.4,,,0,0,,60.0,0,,,0,0,0.0,0,1,4.5,42,0,0,0,0,0,0,0.0,,0,2,9.7,100.0,13.2,6.3,6.3,0,0,0.0,53.6,0,17,40.0,4,0,105.6,3,19,86.4,144,4,4,3,0,28,-1,1.5,9.3
Anthony Richard Jr.,172789,CB,SO MISS,13,272,0,296,0,9.4,54.5,100.0,8.8,4.8,1,1,9.1,73.4,1,20,14.3,1,1,60.0,6,57,21.0,57,1,6,11,1,53,9,1.0,8.8,0,2,9.4,52.2,100.0,13.3,6.9,0,7,30.4,78.7,1,82,30.0,6,6,84.1,12,164,60.3,164,5,12,23,1,233,162,1.5,19.4
Bradley Thomas,172851,CB,S ALABAMA,1,4,0,288,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,25.0,1,0,0,0,0,0,0,0.0,
Ethan Tookes,172852,CB,KENNESAW,8,82,0,200,0,13.5,75.0,100.0,4.0,3.0,0,1,25.0,43.3,0,13,0.0,0,0,136.5,3,15,18.3,15,0,1,4,2,31,1,2.6,10.3,0,0,14.8,100.0,100.0,9.0,9.0,0,0,0.0,61.3,0,34,0.0,0,0,158.3,5,48,58.5,48,0,6,5,1,83,9,1.8,16.6
Trevon Gola-Callard,172978,S,CINCINNATI,12,354,0,138,3,1.7,33.3,96.5,51.0,17.0,0,0,0.0,62.5,0,19,40.0,2,0,56.3,1,55,15.5,57,0,0,3,0,19,14,0.4,19.0,0,4,10.6,46.2,100.0,38.2,17.6,1,1,7.7,70.4,0,15,17.6,3,0,56.6,6,244,68.9,244,5,10,13,0,50,46,0.2,8.3
Walker Harris,172980,ED,OREGON ST,6,3,0,265,0,,,6.3,,,0,0,,60.9,0,,,0,0,0.0,0,1,33.3,16,1,0,0,0,0,0,,,0,0,8.5,100.0,10.5,1.0,1.0,0,0,0.0,37.5,0,15,,0,0,118.8,2,2,66.7,19,0,0,2,0,28,11,14.0,14.0
Brevin Hamblin,173004,S,UTAH ST,13,508,0,329,1,9.1,60.0,91.9,10.9,6.6,0,1,5.0,50.5,1,26,28.6,4,1,56.9,12,136,26.8,148,6,9,20,0,123,62,0.9,10.3,0,5,6.6,71.9,95.9,12.8,9.2,0,5,15.6,63.8,0,33,11.1,3,4,96.9,23,303,59.6,316,7,19,32,0,268,167,0.9,11.7
Scooter Jackson,173006,CB,UCLA,12,254,0,324,1,14.0,41.7,97.1,18.0,7.5,0,0,0.0,53.4,0,23,14.3,1,0,55.9,5,99,39.0,102,3,5,12,0,55,14,0.6,11.0,0,0,5.8,65.0,87.6,8.9,5.8,1,2,10.0,66.4,2,23,23.8,5,2,32.9,13,120,47.2,137,5,16,20,0,78,66,0.7,6.0
Brian Simms III,173034,LB,CINCINNATI,12,96,0,138,0,-1.0,100.0,64.3,8.0,8.0,0,0,0.0,61.2,0,22,50.0,1,0,118.8,1,9,9.4,14,1,1,1,0,22,23,2.8,22.0,0,3,3.7,100.0,69.6,24.7,24.7,0,0,0.0,64.7,0,7,33.3,4,0,91.7,3,78,81.3,112,4,5,3,0,18,7,0.2,6.0
Justin Benton,173039,DI,E CAROLINA,13,1,0,156,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,8,0,0,0,0,0,0,,,0,1,,,0.9,,,0,0,,62.2,0,,0.0,0,0,0.0,0,1,100.0,107,1,1,0,0,0,0,0.0,
Juwon Gaston,173045,S,MIDDLE TN,9,244,0,224,0,10.2,66.7,96.6,13.2,8.8,0,1,11.1,61.4,2,68,50.0,3,1,105.3,6,85,34.8,88,0,3,9,2,103,90,1.3,17.2,0,2,8.4,58.8,97.3,14.2,8.4,1,2,11.8,72.3,1,49,15.4,2,1,81.0,10,146,59.8,150,0,9,17,1,142,73,1.0,14.2
Latreveon McCutchin,173048,ED,HOUSTON,12,51,0,182,0,,,2.3,,,0,0,,60.0,0,,,0,0,0.0,0,1,2.0,44,0,0,0,0,0,0,0.0,,0,1,2.3,63.6,38.5,6.6,4.2,0,1,9.1,87.0,2,36,16.7,1,1,51.1,7,47,92.2,122,2,4,11,0,94,77,2.0,13.4
Chris Pearson,173051,LB,ARK STATE,1,4,0,113,0,,,100.0,,,0,0,,62.8,0,,,0,0,0.0,0,4,100.0,4,0,0,0,0,0,0,0.0,,0,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,
Jalyn Stanford,173059,S,SM HOUSTON,3,23,0,281,0,,,100.0,,,0,0,,63.6,0,,,0,0,0.0,0,4,17.4,4,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,58.2,0,,0.0,0,0,0.0,0,13,56.5,13,0,1,0,0,0,0,0.0,
Logan Brantley,173065,LB,KANSAS,4,18,0,198,0,,,42.9,,,0,0,,61.4,0,,,0,0,0.0,0,3,16.7,7,0,0,0,0,0,0,0.0,,0,0,,,83.3,,,0,0,,64.7,0,,0.0,0,0,0.0,0,10,55.6,12,1,1,0,0,0,0,0.0,
Taylor Davis,173072,S,KANSAS,12,301,0,198,0,9.0,70.0,100.0,10.0,7.0,0,1,10.0,46.1,0,21,16.7,1,0,135.8,7,74,24.6,74,1,5,10,2,86,40,1.2,12.3,0,2,14.1,75.0,99.4,17.4,13.1,0,0,0.0,65.2,1,25,13.3,2,0,69.1,9,163,54.2,164,1,11,12,0,113,43,0.7,12.6
Ezra Vedral,173088,LB,KANSAS,2,13,0,198,0,3.0,100.0,66.7,2.0,2.0,0,0,0.0,45.7,0,45,,0,0,158.3,1,2,15.4,3,0,0,1,1,45,42,22.5,45.0,0,0,5.0,100.0,100.0,10.0,10.0,0,0,0.0,40.0,0,6,0.0,0,0,91.7,1,10,76.9,10,0,1,1,0,6,1,0.6,6.0
Jordan Allen,173089,ED,KANSAS ST,11,21,0,199,0,,,8.1,,,0,0,,71.7,0,,0.0,0,0,0.0,0,5,23.8,62,1,1,0,0,0,0,0.0,,0,0,6.0,100.0,13.0,16.0,16.0,1,1,100.0,66.7,0,6,0.0,0,1,91.7,1,16,76.2,123,3,4,1,0,6,0,0.4,6.0
Daniel Cobbs,173095,CB,KANSAS ST,11,221,0,199,2,11.1,50.0,88.7,15.0,7.5,0,1,12.5,73.0,3,21,16.7,1,1,27.6,4,63,28.5,71,0,3,8,0,45,16,0.8,11.3,0,0,-0.2,77.8,93.8,9.4,7.3,0,0,0.0,63.8,0,9,30.4,7,0,80.3,14,136,61.5,145,8,16,18,0,59,73,0.4,4.2
Ryan Davis,173098,ED,KANSAS ST,9,27,0,199,1,-3.0,100.0,17.8,11.0,11.0,0,0,0.0,57.0,0,14,0.0,0,0,118.8,1,13,48.1,73,2,0,1,0,14,17,1.3,14.0,0,0,12.0,50.0,10.8,13.0,6.5,1,1,50.0,65.6,0,25,66.7,2,1,95.8,1,13,48.1,120,2,1,2,0,25,13,1.9,25.0
Jack Fabris,173102,S,KANSAS ST,4,17,0,199,0,,,50.0,,,0,0,,61.2,0,,,0,0,0.0,0,2,11.8,4,0,0,0,0,0,0,0.0,,0,1,,,100.0,,,0,0,,65.5,0,,0.0,0,0,0.0,0,12,70.6,12,0,0,0,0,0,0,0.0,
Wesley Fair,173103,S,KANSAS ST,12,212,0,199,0,19.5,66.7,98.6,15.8,10.5,0,0,0.0,55.9,0,23,0.0,0,0,137.5,4,68,32.1,69,1,3,6,1,58,6,0.9,14.5,0,1,14.8,61.5,98.3,14.4,8.8,0,2,15.4,60.8,0,42,25.0,3,1,105.4,8,119,56.1,121,1,8,13,0,173,77,1.5,21.6
Justice Clemons,173107,CB,KANSAS ST,7,68,0,199,0,13.5,25.0,100.0,19.0,4.8,0,1,25.0,66.3,0,12,0.0,0,0,39.6,1,20,29.4,20,0,1,4,0,12,9,0.6,12.0,0,0,19.0,71.4,100.0,8.6,6.1,0,0,0.0,44.6,0,30,33.3,1,0,148.2,5,45,66.2,45,1,2,7,1,79,8,1.8,15.8
Terry Kirksey Jr.,173109,LB,ARK STATE,3,76,0,113,0,,,76.9,,,0,0,,63.8,0,,,0,0,0.0,0,10,13.2,13,0,0,0,0,0,0,0.0,,0,0,7.4,71.4,81.1,8.2,5.9,0,0,0.0,64.1,0,22,0.0,0,0,97.9,5,43,56.6,53,3,6,7,0,61,40,1.5,12.2
Will Lee III,173110,CB,TEXAS A&M,13,436,0,312,0,13.0,50.0,100.0,9.8,4.9,0,4,20.0,76.6,0,24,0.0,0,4,95.0,10,105,24.1,105,4,5,20,2,86,5,0.9,8.6,0,1,15.2,58.1,99.6,12.9,7.5,0,3,9.7,58.0,0,37,10.5,2,2,103.7,18,250,57.3,251,4,16,31,1,316,57,1.4,17.6
Donovan McIntosh,173112,CB,KANSAS ST,11,295,0,199,0,15.7,57.1,100.0,9.5,5.4,0,3,21.4,60.6,0,26,12.5,1,2,107.4,8,85,28.8,85,2,7,14,1,114,23,1.5,14.3,0,1,12.8,45.5,100.0,17.0,7.7,1,1,4.5,66.9,1,43,0.0,0,0,61.2,10,175,59.3,175,2,11,22,1,132,44,0.8,13.2
Asa Newsom,173114,LB,KANSAS ST,9,71,0,199,0,10.5,50.0,34.5,10.0,5.0,0,0,0.0,64.7,0,3,0.0,0,0,56.3,1,10,14.1,29,2,2,2,0,3,0,0.3,3.0,0,0,15.0,50.0,91.2,49.0,24.5,0,0,0.0,57.5,0,38,,0,0,135.4,1,52,73.2,57,0,0,2,1,38,14,0.8,38.0
Chiddi Obiazor,173115,ED,KANSAS ST,12,2,0,199,0,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,87,1,1,0,0,0,0,,,0,1,,,1.2,,,0,0,,68.6,0,,42.9,3,0,0.0,0,2,100.0,170,3,3,0,0,0,0,0.0,
Austin Romaine,173117,LB,KANSAS ST,9,207,0,199,0,,,53.6,,,0,0,,68.2,1,,50.0,1,0,0.0,0,45,21.7,84,2,1,0,0,0,0,0.0,,0,4,5.1,90.0,87.6,14.1,12.7,0,2,20.0,59.7,0,27,33.3,5,2,99.6,9,134,64.7,153,3,6,10,0,79,30,0.6,8.8
Kanijal Thomas,173120,CB,KANSAS ST,6,37,0,199,0,18.5,0.0,100.0,,6.0,0,0,0.0,58.3,0,,,0,0,39.6,0,14,37.8,14,0,0,2,0,0,0,0.0,,0,1,5.7,66.7,95.2,5.0,3.3,0,0,0.0,50.0,0,11,25.0,1,0,72.2,4,20,54.1,21,1,2,6,0,21,18,1.1,5.3
Rex Van Wyhe,173123,LB,KANSAS ST,12,72,0,199,0,,,57.1,,,0,0,,65.1,0,,50.0,1,0,0.0,0,16,22.2,28,0,1,0,0,0,0,0.0,,0,1,10.6,40.0,86.8,23.0,9.2,0,0,0.0,43.3,0,27,0.0,0,0,68.8,2,46,63.9,53,1,3,5,0,40,19,0.9,20.0
Jonathan Bax,173128,ED,TCU,13,18,0,305,0,-3.0,100.0,18.2,4.0,4.0,0,0,0.0,71.4,0,-1,0.0,0,0,79.2,1,4,22.2,22,2,1,1,0,-1,2,-0.3,-1.0,0,1,-2.0,0.0,7.0,,7.0,0,0,0.0,71.2,0,,0.0,0,0,39.6,0,9,50.0,129,0,0,1,0,0,0,0.0,
Max Carroll,173130,LB,TCU,13,103,0,305,0,,,81.0,,,0,0,,65.1,0,,,0,0,0.0,0,17,16.5,21,0,0,0,0,0,0,0.0,,0,2,5.3,83.3,88.8,6.8,5.7,0,1,8.3,65.3,0,29,18.2,2,1,99.3,10,71,68.9,80,4,7,12,0,94,35,1.4,9.4
Zach Chapman,173132,ED,TCU,11,2,0,305,0,,,2.1,,,0,0,,58.2,0,,100.0,1,0,0.0,0,1,50.0,47,0,0,0,0,0,0,0.0,,0,0,,,0.5,,,0,0,,65.5,0,,50.0,1,0,0.0,0,1,50.0,220,2,1,0,0,0,0,0.0,
Randon Fontenette,173136,CB,VANDERBILT,13,417,0,333,1,7.6,57.1,89.7,12.0,6.9,0,0,0.0,55.5,0,18,12.5,1,0,98.5,8,104,24.9,116,1,6,14,1,84,38,0.9,10.5,0,3,4.3,86.2,85.2,10.1,8.7,0,3,10.3,72.2,0,30,14.3,4,3,96.0,25,265,63.5,311,7,21,29,0,204,110,0.8,8.2
Vernon Glover Jr.,173137,CB,TCU,13,361,0,305,0,11.8,50.0,100.0,9.0,4.5,0,1,12.5,52.1,0,14,50.0,1,1,63.5,4,40,11.1,40,0,1,8,0,38,8,1.1,9.5,0,3,15.1,51.4,99.6,13.6,7.0,0,6,16.2,69.2,1,46,16.7,5,5,74.3,19,275,76.2,276,3,22,37,0,361,111,1.4,19.0
Hudson Hooper,173138,LB,TCU,1,2,0,305,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,,,0,0,,,50.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,50.0,2,0,0,0,0,0,0,0.0,
Jamel Johnson,173140,S,TCU,13,508,0,305,0,6.9,75.0,98.4,9.3,7.0,0,0,0.0,76.1,0,42,0.0,0,0,97.4,6,63,12.4,64,6,10,8,0,63,28,1.1,10.5,0,2,13.1,61.4,100.0,13.4,8.2,0,1,2.3,59.2,5,43,11.1,3,1,88.6,27,379,74.6,379,8,22,44,5,392,135,1.1,14.5
Jordan Lester,173142,S,TCU,9,96,0,305,0,14.0,0.0,100.0,,9.0,0,0,0.0,70.6,0,,,0,0,39.6,0,11,11.5,11,0,0,1,0,0,0,0.0,,0,1,9.9,76.5,100.0,4.9,3.8,0,1,5.9,46.0,0,26,35.7,5,1,104.5,13,68,70.8,68,2,8,17,0,158,72,2.5,12.2
Kylan Salter,173149,LB,COLORADO,2,2,0,143,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,60.4,0,,,0,0,0.0,0,2,100.0,2,0,0,0,0,0,0,0.0,
Derion Gullette,173156,LB,MISS STATE,10,100,0,227,0,-4.0,100.0,61.0,22.0,22.0,0,0,0.0,51.0,0,62,66.7,2,0,158.3,1,25,25.0,41,1,1,1,1,62,66,2.8,62.0,0,0,3.3,83.3,85.0,12.4,10.3,0,0,0.0,66.3,0,14,0.0,0,0,95.1,5,68,68.0,80,8,10,6,0,41,30,0.7,8.2
Anthony Hill Jr.,173158,LB,TEXAS,10,250,0,311,0,-1.0,50.0,58.9,56.0,28.0,0,0,0.0,68.4,0,9,0.0,0,0,62.5,1,56,22.4,95,2,4,2,0,9,9,0.2,9.0,0,1,5.2,72.0,80.3,9.7,7.0,0,1,4.0,60.3,2,25,6.3,1,1,61.2,18,183,73.2,228,8,14,25,0,195,106,1.1,10.8
Liona Lefau,173161,LB,TEXAS,12,222,0,311,0,-1.5,75.0,78.5,16.0,12.0,0,0,0.0,64.5,0,10,25.0,1,0,86.5,3,51,23.0,65,1,3,4,0,21,32,0.4,7.0,0,6,6.5,77.3,90.9,9.1,7.0,0,0,0.0,47.7,0,62,9.1,2,0,133.3,17,160,72.1,176,4,14,22,1,273,164,1.8,16.1
